DirectorName - unedited,First_Name,Last_Name
Gustavo de Cisneros Rendiles,Gustavo,de Cisneros Rendiles
J Harvey,J,Harvey
Kelvin Dushnisky,Kelvin,Dushnisky
Mike Evans,Mike,Evans
Nancy Lockhart,Nancy,Lockhart
Pablo Marcet,Pablo,Marcet
Professor John Thornton,John,Thornton
Professor Rob Prichard,Rob,Prichard
Steve Shapiro,Steve,Shapiro
Randy Dewey,Randy,Dewey
Barry Reiter,Barry,Reiter
Don Simmonds,Don,Simmonds
Harold Wolkin,Harold,Wolkin
Jeff Royer,Jeff,Royer
The Hon. Stockwell Day Jr,Stockwell,Day
Dale Shwed,Dale,Shwed
Ed Chwyl,Ed,Chwyl
Greg Melchin,Greg,Melchin
Jim Bowzer,Jim,Bowzer
John Brussa,John,Brussa
Mary Peters,Mary,Peters
Naveen Dargan,Naveen,Dargan
Ray Chan,Ray,Chan
Rusty Goepel,Rusty,Goepel
Doug Baker,Doug,Baker
John Cuthbertson,John,Cuthbertson
Keith Macdonald,Keith,Macdonald
Keith Turnbull,Keith,Turnbull
Mel Hawkrigg,Mel,Hawkrigg
Mickey Dunn,Mickey,Dunn
Murray Cobbe,Murray,Cobbe
Murray Todd,Murray,Todd
Ray Smith,Ray,Smith
Steve Pully,Steve,Pully
Charles Cavell,Charles,Cavell
Doctor Francesco Bellini,Francesco,Bellini
Doctor Martin Tolar,Martin,Tolar
Franklin Berger,Franklin,Berger
Hélène Fortin,Hélène,Fortin
Joseph Rus,Joseph,Rus
Murielle Lortie,Murielle,Lortie
Pierre Larochelle,Pierre,Larochelle
Roberto Bellini,Roberto,Bellini
Bill Clarke,Bill,Clarke
Carol Fries,Carol,Fries
Denis Arsenault,Denis,Arsenault
Mark Eaton,Mark,Eaton
Peter Tagliamonte,Peter,Tagliamonte
Stan Bharti,Stan,Bharti
Bill Wheeler,Bill,Wheeler
Bob Steele,Bob,Steele
Doctor Brian Moss,Brian,Moss
Doctor Chayans Chakrabarty,Chayans,Chakrabarty
Ian Towers,Ian,Towers
Jim Howe,Jim,Howe
Peter Gaffney,Peter,Gaffney
Don Noone,Don,Noone
Jay Peters,Jay,Peters
Jim Riddell,Jim,Riddell
John Hartley,John,Hartley
Kathleen McNally-Leitch,Kathleen,McNally-Leitch
Mike Kohut,Mike,Kohut
Rob Peters,Rob,Peters
Dennis Dawson,Dennis,Dawson
Jeff Tonken,Jeff,Tonken
Ken Cullen,Ken,Cullen
Larry Shaw,Larry,Shaw
Arni Thorsteinson,Arni,Thorsteinson
Bonnie DuPont,Bonnie,DuPont
Greg Doyle,Greg,Doyle
Ian Boyd,Ian,Boyd
J Bird,J,Bird
Paul Charette,Paul,Charette
